comments,labels
就电影来说 总体有点过誉了 但作为新人导演  值得  但电影外的一点 贾玲 让很多人都知道了她母亲叫做李焕英  她和她母亲都是伟大的 她们都值得五星 如果有星 我还是会打满 ,2
春节档第一部 哭的一塌糊涂 ,2
我想起了最后一次见我爸 他拿着一袋用塑料袋装着的杂牌绿茶饮料来奶奶家看我 他那天喝了一点酒 和我奶奶说他想接我回家住几天 奶奶不太放心 拒绝了他 然后 没有然后了 我爸走的 脑血栓 多年了 今天有点想他 特别想他,2
结构和剧情上的硬伤肯定在所难免 毕竟是贾玲第一次导演 但感情是真的 毋庸置疑的真切 一种中国特色的 与母亲的关系 这种关系 怕是作为一个中国人无论几岁无论走到世界哪一个角落都没有办法抹掉的 都已经不知道多少年没有回家过年了 非常想念大洋彼岸那个跟李焕英做过很多相同事情的妈妈 ,2
可是给我哭完了 贾玲的视角就是我这一代人的视角 觉得上一代人牺牲自己 委屈了自己 希望他们把时间更多放在自己身上 但是父母们觉得这样的日子很好 很幸福 ,2
怎么说 哪怕是这种题材对我来讲没什么触动点 但看完之后依旧是会对剧情里的人物有小小的共鸣 我喜欢它简约的主题  我来你高兴吗 高兴啊  她来干嘛 她来让我高兴的 这就够了 贾玲作为喜剧演员 很合格 ,2
如果客观评价 确实不够成熟 可整个观众席都哭成狗谁还顾得上客观 能让每个人代到自己就已经成功 有些故事 即使猜得到剧情照样让你一秒破防 因为人生早就写好相同剧本 不可逆的大结局 生而为人见者有份 从英文片名出来就开始崩溃 因为进电影院前刚决定不回我妈的消息 第一次一个人过年 以欺骗家人的形式 冠冕的理由有很多 却没有一个可以粉饰负罪 没有让她高兴过一次的贾晓玲就是我自己 想说的有很多 好像都无意义 高中也和同学讨论过 怎么还清父母的债 她说只有下辈子做他们的妈妈 这竟是所有人都做不到的朴素愿望 想从带她看一场电影开始 这件说了很多年的小事 希望这一次我能做到 ,0
要好于预期 第一个抖包袱的点 她姨给她红包 邻坐的一个叔叔在衣服内口袋拿出叠好的布擦汗真是笑死了  最后她反应过来她妈年轻时不会缝好看的图案那里 真是催泪的开始啊  ,0
女儿穿越找妈妈的设定今年在电视剧 我才不要和你做朋友呢 已经出现 而电影结局的双穿越使情感升华提高了层次 相比于以前的父子穿越 近几年母女题材影视剧的兴起反映社会女性权利意识的觉醒 ,2
为真诚 以及为在这部电影里感知到的女性的力量多一颗星 女性的力量就该像这部电影里表现的一样简单又复杂 复杂在看待世界的关注点 思考问题的模式 解决问题的方法都应该有女性特有的 柔中带刚 感 又简单于仅仅只展现她们努力生活的一面 就足以透露出女性的寻常魅力 而这样女性特有的敏锐 感性和态度 会让整部电影呈现出完全区分于男性主导的电影的风格   所以本片中女性的力量不意味着让 女性 完全让步于 母性  而 好面子 气急败坏和唉声叹气 这样不完美的设定 反而让她身上的 独立 知足和快乐 显得那么可爱 本片里我喜欢的一点是 李焕英是个普通的女性 她确实没那么刚烈 不那么决绝 还有点小毛病 但这不妨碍她成为受人尊敬的女性 以及在某些感知到柔情的瞬间里 我突然很庆幸自己生来是女性 ,2
嘴上说不喜欢陈赫还是被安利去了 掉眼泪是从头掉到尾的 头有多头呢 改成绩被发现后一前一后走路和解那就开始了 尾一直哭到片尾字幕 没办法说拍得好还是不好 亲情梗的片子不能用这些来判断的 我也认输 Bug是全片没听到过一句 李焕英 你喜欢什么 你想做什么 你怎样会开心  没人问过 最后母职的牺牲就显得更令人心痛 如果贾玲给母亲争取的不是嫁给厂二代 还是得靠男人  而是争取深圳那个新厂的工作 我会非常respect 但也取决于问一句你怎样会开心   不陷在剧情里 这么跳出来一看 这电影是挺空洞的哈  ,0
没有很特别的摄制技巧 女导演视角下的女性温柔而有魅力 真正地以情动人 ,2
不好吃 但美食一条街只有这家店了 感谢吧  ,0
笑惨了也哭惨了 这种感动对留学狗来说太致命了 ,0
电影节奏和画面语言确实有很大问题 但真诚胜过了一切 女性视角下一切都太美好 女人美好 男人也都可可爱爱的 没有任何令人不适和被冒犯的情节 尤其喜欢陈赫那个角色 不会再开肥胖梗的玩笑 即使躲雨挤成那样 他也看到了你有趣美丽的灵魂 贾玲真是超级无敌大可爱 ,2
在贾玲说出对啊 我妈怎么会缝的那一瞬间整个电影在这里开始反转 从这里开始显得不一样 我爱这一瞬间    ,2
我很客观很客观打分她实打实值四分 如果要我主观评价我觉得她值满星 首先就是我觉得贾玲很了不起 真实的爱 观众是感受得到的 这是电影的意义 超越艺术 商业 科技 这是一种情感 比那些前者更难得更有价值 能引发观众如此广泛的共鸣是对电影最大的认可 你说这煽情 我也可以理解 毕竟不同的人对情感的表达可能会大相径庭 但电影不能光凭借手法和技术来评价好坏 电影背后蕴含的初心和情感更值得称赞 毕竟 大众传媒不代表不说人话 电影也不代表技法大于情感 有的情节和人物没多大意义 客观存在的问题也不用回避 因为小小的瑕疵掩盖不了绝对的成功  我 最讨厌感动到哭的时候有人在那阴阳怪气调侃有什么好哭的 我笑点哭点都低也不代表我电影素养低 总想着自己标新立异是最幼稚的做法 而且说别人幼稚的人自己也不会成熟到哪里去 ,2
看哭了 不是因为片子多么好 而是张小斐演的妈和我妈太像 ,0
略高于预期 非常满意 反转没有猜到 贾玲第一次做导演取得这样的成绩很不易 ,2
在电影院憋着哭好难受 如果可以我想嚎啕大哭 ,0
影片看着看着以为是上天给女儿一次机会 弥补逝去的时光 让那个时空的母亲高兴一回 结果最后居然反转 原来一直是母亲在注视着女儿      当时鸡皮疙瘩全起来了 非常震撼 另外 母女和解的内核 总能让人轻易流泪 ,2
其实看得出拍的比较稚嫩 但是题材很好 谁不爱自己妈妈呢 后面反转是意外之笔 没想到是一起穿越回去的 五星吧没的说,2
不特么说好了是喜剧么 ,0
有笑点有泪点 全片围绕妈妈以及女性群体 没有刻意比较恶意中伤 娓娓道来妈妈的一切 将平淡的生活用喜剧的手法体现了出来 很惊喜 原来贾玲那么有才 ,2
反转设定非常加分 基本没什么拍摄技巧 但就是能让人动情 煽情手法也不讨人厌 那句 我宝 真的催泪啊 相比运用各种炫技拍摄手法但是笑点槽点剧情一塌涂地的 唐探  我更希望看到更多的这种拍摄手法粗糙但能让人动情的 小品 电影 ,2
笑着笑着就哭了 也许作为导演处女作技法上有些不完美 至少感情上足够真挚动人 引人共鸣 妈妈 我不仅仅想活得健康快乐 也想要成为你的骄傲 ,2
玲儿吃的那个豆包怎么那么软乎儿啊,1
电影院有个妹纸哭得超大声 灯一打开就是社死现场 但真的蛮好看 好笑也好哭 ,2
有惊喜到 笑点十分密集且有质量 每几分钟影厅里就发出爆笑声 情节自然不俗不尬 情感升华也真挚感人 这种片子是笑和泪交织本能的感动 几乎可以忽略掉贾玲初次执导的的生涩感  如果不纠结穿越逻辑的话 是很不错的切入点新颖实际的女性题材影片 有喜有泪贴近生活有现实意义 女导演真的有更细腻的的视角 更会用女演员 真的要夸夸贾玲和这帮优秀的喜剧演员  ,2
看了影评后 特意约妈妈一起看的 可能因为被一定程度地剧透了 所以前面很多暗示的小细节哭得比较厉害 发现妈妈也穿越了那里反而平静了许多 看完后跟妈妈散步回家 聊了我和她 也聊了她和外婆 算是成年后聊得最深入的一次 妈妈为了这个家庭真的牺牲了很多 希望自己以后能尽可能地让她快乐 ,2
树欲静而风不止 子欲养而亲不待 对于大多数人来说 可能前一句说的是人到中年的处境 后一句则是永远抚不平的心情 ,0
看预告和简介这不就是 我才不要和你做朋友呢 的电影版吗 ,0
 你好 李焕英  有意料之中 也有意料之外 意料之中是它猛地戳中了我们身上 亲情 这根泪腺 每个人也很想回到从前站在父母旁边看着他们是如何把我们慢慢带大 或许那样才会更加理解他们吧 它很温馨 就像电影的暖黄色调 那样暖进人心 片尾字幕李焕英真实的照片以及贾玲发自真心的话 看得人非常感动 一看到贾玲哭 我也想跟着哭 呜呜呜 那种泪流满面已经超越了表演的范畴 今年就地过年 只能自己去看 其实非常想陪我妈去看这部电影 当然也有意料之外 跟原版小品的结局大不相同 原来贾玲还在这里暗藏了反转的玄机 所以不能剧透 这也是电影最大的秘密     ,2
从 回到未来 到 土拨鼠日  如果真有这意思的话 那就相当meta了 用电影把逝去亲人的美好时光循环放映,2
想要通过作品释放自己的一些情绪 遗憾 是创作原动力的其中一种吧 看电影的时候 能感受到贾玲的这种释放 这也是我看这部电影最大的获得 从一个创作者的角度 ,2
穿越的真相这个设计特别棒 让电影更有层次 爱永远最催泪 ,2
分 贾玲让全国人民认识了她的妈妈 这才是最厉害的怀念 电影中前面有多搞笑 结尾就有多催泪 贾玲和李焕英喝酒那段之后 整个情绪就变了 从影片成了贾玲的告白 那一段哭戏已经不是演技 单纯就是真哭 所以就特别感染人 结尾的反转在前面已经隐藏了很多细节 进一步摧毁了观众情感防线 也把前面的不合理之处给解释了 而且从伏笔来说这一部作品也有推理电影的感觉 还有 本片中的穿越最后没有改变未来并不是出于各种意外 而是人为选择的结果 再加上故意放弃父亲这个角色的描写 都是为了突出李焕英发自内心地喜爱有贾玲在的生活 要说缺点就是陈赫这个角色是不完整的 拉了一条他和贾玲的感情线 但最后不了了之了 有点可惜 另外 如果能把前面的喜剧桥段和最后的催泪情节融合起来就真的完美了 电影中只有二人转那一段稍微有点这种效果 ,2
最后妈妈穿越回去的视角是神来之笔 母女想象中的告别 泪崩了 如果有一次机会让我穿越回去 我也没什么好妈妈 只有特别短暂的好爸爸 想到这个更令人难过不已 如果也能再给我年就好了,2
一开始不太想去 后面看评论还不错 打算带妈妈一起去 结果朋友约着就今天情人节凑了个热闹 路上特别堵车差点没赶上  我泪点太低了 差不多从头哭到尾 一直以来都觉得妈妈过得好辛苦 要是可以从头来过 希望她可以过得更好即使没有我  演员真的有相像不出戏 年轻妈妈演得好温柔 好美 笑起来好好看 又感动 最后结尾真的哭得我喘不过来气  不敢带妈妈去看了 场景 表演都很细腻 感觉很用心 不愧是我最喜欢的贾玲  陈赫好腻 受不了 ,2
其實後半段的轉折不是太好 因為這是女兒以為母親不知道自己 而母親卻已經完全知道 並且迎合女兒的慾望 所以女兒希望母親嫁得好一點恰好是極其父權的 母親自己明白自己想做什麼 而女兒真正接觸的是母性大他者  那個能滿足自己 但是自己要 滿足 大他者 卻發現其失落  大他者不存在 大他者只是給主體自身的定位罷了 也因此只有定義為姐妹而不是母女 這部電影才算得上佳作 後半段煽情也因此顯得有些多餘了 或許在疫情期間 這種電影就已經是佳片 不過這顯然不是好事 ,0
生姜对生发屁用不顶,0
贾玲这么举重若轻 真情实感的戏 张小斐接住了 真棒 希望多一些这样的戏 让我们从喊 妈妈爱你 的粉丝 找回 爱你妈妈 的初心 ,2
用作品疗愈自己的人 你想让她赚钱 影评人也许会总结各种技术短板 但掏心掏肺永远胜过机关算尽 女性视角的凝望真是温柔动人 春晚的贾玲肯定是被绑架了 ,0
虽然做过心理建设 我还是没把控住眼泪 剧本情节虽然明显有不足和生硬 但贾玲的真情流露还是把我感动到了 后面的每一刻她都不是在演吧 而是完全投入吧 电影给了她一次重逢的机会 也给了我们一次救赎的机会 ,2
 一歇哭一歇笑两只眼睛开大炮,2
 从我出生起 妈妈就是中年妇女的样子 以至于我会忘记妈妈也曾是少女   你以为你很爱妈妈了 其实妈妈比想象中的还要爱你  电影并没有网上评论的那么好 但是越长大越能体会到母亲对于孩子的爱 情感真挚足矣 ,2
沈光林湖中是全剧亮点 ,2
前半段好笑 后半段又温暖治愈感人 春节档不得不看的好电影 坐我旁边的女生带着她妈妈一起来看 电影后半段的时候一直在抽泣 电影带来了最真诚和真挚的情感 让人感同身受 电影在鄂北的小城发生 根据贾玲和她母亲的真实事件改编 片尾字幕和照片出现的时候 回头来看其实是个相当厚重和让人伤感的故事 同时也能感觉到电影里的女性主义的意识在电影里面的慢慢觉醒 成长中父亲的缺席和母亲对儿女只要幸福快乐的成长就好的期盼 都是电影高级的地方 ,2
前面笨拙生涩 结尾哭到不行 上次哭这么凶还是CoCo  真的真的 妈妈两个字我听到就想哭 支持女导演支持女导演  哭了哭了,2
"看过小品版 电影版还是没有一包纸也哭完了半包纸 随着贾玲一起哭 在电影院里拼命压低自己啜泣的声音   结束的时候场务提醒大家没有彩蛋 催促大家离场 大家没有看完字幕会错过 依兰爱情故事 的 ",0
用能留下最长久的形式追忆纪念最爱的人 每一个人都很可爱 真的忘了我们的妈妈原来也曾经是个一个少女,2
最后小斐接贾玲喊我宝的时候简直  ,0
问题真的很多 好几处重要的情绪节奏都是错的 生硬的 导演能力真的很成问题 但好在没出现太大的方向性错误 在这个前提下 这电影的真诚还是很动人的 ,0
当一部喜剧在拥有合理的剧情的同时 还能在每一个细微的笑点上都能令人发笑 这部喜剧无疑是成功的 而当一部合格的喜剧 好的创意构思 合理的煽情与深入 春节档 那么这部影片堪称完美 它做到了 ,2
情真 段子没国内喜剧电影那股膈应人的直男味儿 就觉得蛮好的了 结尾太蛊了 某种意义上麦琪的礼物 ,2
有演技保证 即便是最传统老套的叙事也好笑又好哭 唯一的尬点是陈赫 每次他一出场我就脚趾抓地  ,2
你未必总能想起让妈妈开心 但无论什么时候还是哪里 妈妈总想守护你 可是没你之前 妈妈也曾有过青春 是个少女啊   这一部春节上映 可谓把人情绪拿捏的死死的 有哭有笑地看完 就地过年的想妈妈包的饺子 回家过年的决定好好陪陪妈妈   感谢笨拙而真诚的贾玲 技巧可能分 但真情实感分   最后 你玲啊我还呢哈哈哈哈哈 名字就有好多梗哈哈 ,2
作为电影来说技法和叙事自然是稚嫩与平常的 但它足够真挚 诚恳 勇敢和动人 可以从中感受到创作者的温度 尤其在这个档期 于正常制作的标准上 认真和善良成为最服众的作品根基 本片都做到了 观众为其付出的情感是值得的 贾玲不仅让我们从中看到了她 也让我们从中看到了自己 ,2
贾玲导演的处女作 实在是太好了 太惊奇 太动人了 求你们都去看 觉得不好找我退票钱 ,2
看吧 预言今年的票房黑马,1
贺岁档最好哭 看的最舒服的电影了 笑点多来自自嘲和语言艺术 表演中的小细节做的也非常好 最后的反转实在是太顶了 就算那时你猜到又如何 情绪依旧无法控制 强力推荐带上父母一起观看 ,2
口罩真是太好用了 活活哭湿了一整个 我发现全世界的妈妈都太好哭了 不论是印度的 神秘巨星 还是日本的 垫底辣妹  当她们的妈妈与贾晓铃的妈妈一样说出那句 我的孩子健康快乐就行 的时候 就是人们眼泪决堤的时刻 可在这个时刻里哭泣的不只是 子欲养而亲不待 的贾晓玲 影院黑暗的角落里还有无数个 需要赚更多钱才能尽孝 的樊胜美们 她们哭得更心酸更复杂 哭妈妈也哭自己 ,2
在结局之前我以为会是新难兄难弟 或是乘风破浪 或是回到未来 但最后却是 你一生的故事  最特别的是 正因为这个反转的结局 如果在看第二遍的时候反而会带来完全不一样的感受 第一遍的所有笑点会很奇特的变成了泪点 这片值得和应该看第二遍 ,2
作为一部喜剧来说 笑点就一般小品水平 太浅了 都猜得到的 小朋友都笑得很开心 故而就不是特别好笑了  但是它特别好的是 把穿越翻出了花 当要让妈妈开心的这份心意被传达到 这个点实在是太好哭了  但是最后跑回去强煽情的戏份就有点过了 不是说不可以 但是时间太长了 有点过犹不及了  贾玲作为导演处女作 完成度很高 陈赫意外的很惊艳呢 ,2
看完之后其实挺有共鸣的 其实我原来也有过这个想法 如果我能回到过去的话 我就不让我妈和我爸认识 这样她就不会过的像现在一样惨 有没有我无所谓 重点本身也就不是我 ,0
感动和搞笑的情节都恰到好处 爱值得五星 最后煽情安排有美中不足,2
作为电影还欠火候 剧本也不丰满 价值观比较主流 但是笑点不断 泪点饱满 反转有力 看得人情绪跌宕 有沈腾这成功经验 想必做到这一点不算太难 我更感动的是 能以这样的方式 成功的作品告慰自己的母亲 贾玲很棒 上一次有印象能吸引巨量大众去关注自己家人的明星还是周杰伦 ,2
张小斐特别好 贾玲的真诚太打动人了 看到结局再回去想那句 我说了我很幸福 你怎么就不信呢  我的泪又憋不住了 如果是和同学看这部 我可能不会这么喜欢 但是我的李焕英就在我身边 珍惜每一秒 每一秒 ,2
难以置信 皮克斯级别的好哭,2
牛逼 笑的时候让人开怀大笑 触动的时候让人眼角湿润 整个电影的立意也很好 在女性导演的电影中 英子年轻时简直太美了 结局的反转让人震撼 牛逼 ,2
应该是年贺岁档票房黑马 从技法 格调和立意上看 本质还是小品 穿越桥段实在也是用烂了 电影技巧上不能说有多高明 但情感渲染和商业效果出奇的好 文本比原小品扩充了不少 穿越过去是喜剧怀旧风 桥段包袱也不油腻 峥嵘岁月里温馨的昂扬的调子 后半段的温情戏码切入了普世的东方人文语境下这种 亏欠 式亲情 一边是子女对父母未及报答的愧意 一边是母亲只希冀女儿的快乐成长 很抓心 很真诚 很治愈 也让人动容 情感一下子升华了 比夏洛特高级 比探案简直好太多  既让人发笑又让人感动 当下国内的看客们太吃这一套了 不能说是好 电影  但值得你买票  ,2
看完这部电影就好像看到漫漫几十年的岁月突然被抚平了 看到了妈妈是如何成为了妈妈 那件我们从不曾想起的事是 在成为妈妈之前她也曾是个美好的少女 也曾有过梦和热爱 最后她的梦却变成了我们 如果可以 希望大家能带妈妈去看这部电影 去和妈妈一起拾起她的梦和岁月 去成为她值得的热爱也去更好的懂得和热爱她 ,2
我很喜欢贾玲 希望贾玲幸福 但她仿佛和我一样 都没有从丧失至亲的悲痛中走出来 所以结局悲大于喜 沉痛大于超脱 希望贾玲通过这次的创作 能完成自我救赎 然后不要再焦虑 不再因为焦虑而猛吃 然后健康的范围内胖嘟嘟 成家立业 有爱人和孩子 迈向幸福而遥远的未来  ,2
不管是剧情还是拍摄手法都挺普通的 但是看着很舒服 不让人讨厌反感 这就是女导演拍戏的好处啊 讲女性的故事 完全以女性为中心 男性都是陪衬而已 而且不丑化不物化女性 这年头不让人反感的国产喜剧实在太少了 唐探充斥性别歧视和色情段子 ,2
事实证明 怀着诚意和敬畏怎么会拍不好电影呢 贾玲 不错 ,2
如果时间倒着走 我也想看看你们年轻时的模样,2
有笑点有泪点的一部贺岁档 看之前看到一条影评说最后十分钟节奏把控不好 实际看的时候却很惊艳 与其说是女儿的一场梦不如说是母亲在弥留之际给女儿编织的一场梦 让她不再自责 自卑 让她明白母亲的心愿就是女儿健健康康 快快乐乐地活着 但真的值四星吗 也不尽然 全靠同行衬托  ,2
最适合带父母一起看的一部 前半部是身份错位的常用喜剧手法 后半部是子欲养而亲不在的真情流露 组合起来就是屡试不爽的票房灵药 总能牵动起观众的笑与泪 或许俗套 但就是奏效 贾玲第一次做导演 真诚的创作态度是勤能补拙的 ,2
春节档口碑黑马当之无愧 很意外 很棒 用心拍电影的值得尊重 满星鼓励 ,2
张小斐母性光辉太强了,2
虽然结尾还是有点煽情过度 但是视角太难得了,2
中规中矩 但影片中流露的真诚打动到了每个人内心最柔软的部分 加上扎实的喜剧效果 整体观感对于大多春节档观众来说无可挑剔也可以理解   贾玲多场戏都特别真情流露 她对母亲那份沉重的思念很难不让人鼻子一酸 电影角度也看得出她的认真对待 不难想象她为这部电影付出了多少 果然一个人认真对待一件事 是会发光的   即使影片本身存在很多问题 但大可不必质疑它是否值得如此高票房 多多反思背后的原因 中国电影自然就会进步   电影是和妈妈一起看的 我在异地住院 她从家里赶来照顾我 见到我说 不知道怎么 明明是离开家 但见到我就有一种回家的感觉  ,2
之前看过类似主题的香港老电影 讲的是父子 这一版是母女 且没想到的是母亲的角色上设置更为精巧 结尾落泪 妈妈也曾经是个花季少女 要珍惜要好好去爱啊 居然在这部电影中隐隐get到了陈赫的帅点 ,2
有时候电影确实不需要那么多的技巧 真诚能打动每一个人,2
这个电影的商业喜剧形式与情感内核有强烈的分裂不兼容感 贾玲对她母亲一生的愧疚 不甘 意难平太过于浓郁真实 导致完全无法走向商业喜剧所追求的那种合家欢正能量结局 而正是在这种持续到影片最后一秒的 强烈的 痛苦的 无法消解的所谓 负能量  几乎让所有对女性广泛的生存现状怀有不满的女性观众产生了无法遏制的共情 因此也有了超越甚至批判其俗套外壳的女权主义潜力 这种潜力主要体现在两点   因为无法以正能量收尾 这部电影在各种烂梗铺垫之后仍无法将母亲的牺牲简化地歌颂为理所当然的伟大  她的人生本可以更好  这样的意难平永远是为女性生存权益抗争的起点   电影难得的构建了一个从 女性内卷 到 女性联盟 的清晰反转 能让母亲的人生变得更好的永远不是 赢过其他女性  反而是女性之间的情感联结 ,2
笑中带泪 这个电影是有味道的 为了不让我妈发现我哭的很惨 一直没大动作 口罩底下吃了不少自己的眼泪 ,2
单论电影本身还是有很多毛病 但我共情了贾玲对母亲的感情和母爱 ,2
其实 刚开始对这部电影是排斥的 以至于其他几部看完了才来看这部 毕竟小品或话剧改编的电影并不太像电影 台词设计得太完美 太满 梗也太密集 虽然很好笑 但并不真实 不像生活里会说的那些话 倒像加长版的小品 如 夏洛特烦恼   羞羞的铁拳   但好在贾玲的情感是真实的 通过这部电影也让全国观众知道了自己母亲的名字叫李焕英 纵观全片 能看到很多电影的影子  夏洛特烦恼   乘风破浪   少林足球   夺冠   想见你  不能说它特别好 只能说他特别讨巧 笑点有了 泪点也有了 再加点煽情 反转 母爱升华 确实是大众喜欢的类型 前面分钟 半 最后分钟的剧烈反转 纯属意料之外 多加一  ,2
有想法但是细节不够 如果一开始贾玲砸下来后张江背着她跑去医务室那一段用长镜头凸显野心 沿路还是黑白 到张小斐出现了才变彩色我觉得效果更佳 说真的 贾玲对于妈妈真正的印象就在于第一台电视和排球运动员两件事 抛开这两件事后那些虚构的便显得有点虚 但是这个反转真的有点出乎意料 说到底还是剧本大框架好 还是母爱伟大 别管那么多逻辑错误推敲欠缺的问题了 你爱妈妈妈妈更爱你这个主题真的非常无敌 最后因为我个人很喜欢张小斐 所以私心加一星 ,2
   我家的新年定例 大年初一全家出动看电影  今年选了国民好感度最高的贾玲 结果我的小侄女和我在影院眼泪横飞 有一说一瑕疵不少 缺乏令人信服的穿越媒介 陈赫这条线存在必要性的丧失 但是整部作品不仅剧情流畅 演员完成度高 难得的是搞笑得不落窠臼 颇有新意 反转之后从一个普通母亲的角度给出的人生答案真的是最好的最动人的答案 希望大家都可以明白 不要总是自以为是擅自替妈妈做决定 无论是你未曾见证过的青春时代还是你所熟悉的中年和老年时代 她真的除了儿女之外还有很多自己的故事和生活                                            另外我要加一句 沈腾叔叔是全中国最好笑的人 ,2
落在地上的喜剧应该就是这样的吧 笑点满满 搞笑不硬咯吱观众 泪点自然 感情表达毫不做作 贾玲靠自己的努力 让对妈妈的感情有个着落 思念有个回声 多好啊 没想到张小斐演技这么好 太自然了,2
喜剧和情感部分自不必说 这都是有目共睹的 最后的反转才是点睛之笔 正因如此 前面的笑点全成了泪点 这才是高级的喜剧 ,2
如果是献给李焕英 我打五分 如果献给观众 我打三分,0
合家欢喜剧 更没想到还是一部情感真挚的温情片 可以说情感元素比搞笑元素更能打动观众 我所在的场次座无虚席 前半段全场都在笑 快结尾时则不少人都在哭 尤其是女性观众 贾玲在自己的导演处女作中倾注了自己对母亲的深厚感情 这种真实的母女亲情也成功地传递给了观众 当然 作为喜剧这部作品也成色十足 贾玲 张小斐 陈赫 冯巩 乔杉这些笑星逗你笑没啥难度 何况还有沈腾这种大杀器 那段 船戏 实在是太搞笑了 ,2
笨拙但真诚 这就很好呀 ,2
某种程度上来说  你好 李焕英 是一部经过严格 计算 的电影 分喜剧 分悲剧 但对于大多数观众来说 走出电影院 只会记住这分的沉重 在这个 就地过年 的特殊时段 成功击中了中国人的痛点 这一切都归功于导演兼主演贾玲的真诚表达 以及张小斐等人的动情演绎 同时作为一部完全女性视角的影片 女性角色不再停留于工具化的常规设置 其光辉成功盖过包括沈腾在内的所有男性角色 十分难得 ,2
反转之前都很普通 反转后的十分钟眼泪就像水龙头一样止不住了      ,0
哭了 电影很真诚 那些说贾玲消费母亲的 可长点心吧 贾玲有能力 有机会把自己母亲的故事拍成一部作品 并且将永远留存于世   很棒 很羡慕 ,2
年月日 妈妈永远离开了我 直到现在都感觉很不真实 这个新年过得太难受了 多么希望只是一场梦 选了这部电影 想给自己找个情绪出口 确实很好哭 总说要不留遗憾 但真的只有人没了 才知道自己真正失去的是什么 ,2
虽然宣传在说催泪 但我感觉还是笑点更多 对沈腾的演技又有了新的认识 以前以为他只会演王多鱼那种角色 没想到这回出场还真带着点文质彬彬那味儿 ,2
本来还有点怵看这片 因为之前看舞台版的时候就挺泪目的 可是这一场看下来 还是有点略超出了我的预期 尽力还原的年代阳光和煦感挺好 水龙头上刷的防锈漆色都挺正 公交车型号略新了些 中间加的那场女排戏还真没想到  穿越是个壳 宿命是个圈 亲情是把锁 母爱是座山   集合了中国中 老年妇女典型形象的演员 母亲的两个酒窝和贾玲的那一对笑起来 故事就让人相信了  ,2
  观影  李焕英的闺女还是可以的 做为贾玲的导演处女作 全程无尿点 哭哭笑笑地看完了 五星你值得 推荐 ,2
虽然也被感动 但并不是这么强烈,2
李焕英命运的坎坷 不在于孩子的顽劣 也不在于配偶的平庸 她是无数国营工厂工人的缩影 她青年时代之后的坎坷经历 源于所在阶级阶层的失权 贾晓玲虽然把母亲的苦难归咎于自己 但也明白命运悲剧的源头在何处 在于可以继承的 位高权重  ,2
无法从电影工业标准或艺术标准来评级 因为感情太真挚了 有些桥段从商业片的角度你一定觉得多余 但一想到这是贾玲拍给已故母亲的执念 就觉得一切都合理 很适合春节档期 影院里有人带着父母 有人带着孩子 大家都经历了一场共同的欢笑与泪水 贾玲是人民艺术家 她的电影是拍给人民的 值得一个五星 ,2
看之前相信值得一看 但觉得分数夸张了 看过之后完全理解 再理智觉得四星也愿意为情感 为女性视角都给五星 和闺蜜哭得很整齐 张小斐好美 演得好好 沈腾叔叔真是长在我笑点上 听到冯巩的 想死你们啦 才感受到了过年气氛 以前没注意乔杉和贾玲长这么像 结尾很妙   贾玲这次很牛 李焕英值得 ,2
知道很好看 但真的不想去影院看煽情片 然鹅还是去了 东方叙事风格把我吃得死死的 整个电影节奏很好 内容非常充实 笑点泪点都很接地气 真实不尬 发人深省 共情一流 更难得的是拍摄手法也很不错 镜头的转换都很流畅 成熟 整体质感非常好 影片很优秀 看的过程中你不会想去分析电影的拍摄技巧 就想看这个故事本身 剧本非常优秀 荧屏上几乎都是喜剧演员 女演员比例也很高 这一点也相当感动 东方电影就应该发挥自己的特长 ,2
点场的电影 人都坐满了 大家一起笑 氛围很好 最后差点忍不住哭 不太好意思在熟人面前哭来着 大年初一 牛年大吉 希望家人健健康康 平平安安 ,2
好久没有看到过这么真挚的情感流露了 ,2
哭得很累 然后清醒地知道我和我妈的问题更难解决 ,0
得知真相的我眼泪掉下来 那一段太好哭了 我和我妈两个人都哭   ,2
虽然有不完美但我此刻愿意给这部电影满分 有笑有泪观影体验极佳 笑点自然不尴尬 尤其划船那段笑得没抽过去 而从反转开始 没感觉到刻意煽情但泪就是止不住了 夸一下两人的演技 感染力极强很让人有代入感 以后的作品目测都会贡献电影票了,2
 乘风破浪 的 姐姐 ,2
水准之上 意外之喜 在一众春节档电影中胜出的x factor就是平心静气的叙事  技法为故事服务 调料为食材服务 演员为观众服务 幽默为真情服务 片尾的结构转换与价值升华做得很提气 母子分别的戏份拥有了接近 时空恋旅人 父子分别的些微光芒 幽默与深刻结合得很好 没有 春节档寻常可见的 强煽情 没有 剧情需要 般的生硬转换 初接导棒的贾玲值得我狠狠鼓掌  ,2
多一星鼓励 支持女性创作者 很温情的一部片子 最后点破英子带着妈妈记忆的时候 瞥到玲儿从天而降喊着 宝儿啊 冲过去试图接住的画面特别touch ,2
多年前看过贾玲的小品 今天在看电影版 贾玲是真的用心在想她的妈妈 感人至深 欢笑夹杂着泪水 儿子看完了还跟我聊了好久 带着亲人去看 你会收获很多 ,2
我收回之前的怀疑 因为 真心给自己母亲拍一部电影 顺便拿几十亿票房这件事太牛逼了 真的 ,0
我年纪大了 我哭了 我希望爸爸妈妈能陪我更久一点 让我再对他们好一些久一些 ,2
